
Converting numbers in file: P2/TC2.txt
Original: 7116776	Binary: 11011001001011111101000	Hexadecimal: 6C97E8
Original: 1666340	Binary: 110010110110100100100	Hexadecimal: 196D24
Original: 8886983	Binary: 100001111001101011000111	Hexadecimal: 879AC7
Original: 839365	Binary: 11001100111011000101	Hexadecimal: CCEC5
Original: 924280	Binary: 11100001101001111000	Hexadecimal: E1A78
Original: 1026310	Binary: 11111010100100000110	Hexadecimal: FA906
Original: 1615293	Binary: 110001010010110111101	Hexadecimal: 18A5BD
Original: 1063875	Binary: 100000011101111000011	Hexadecimal: 103BC3
Original: 679035	Binary: 10100101110001111011	Hexadecimal: A5C7B
Original: 5201970	Binary: 10011110110000000110010	Hexadecimal: 4F6032
Original: 593979	Binary: 10010001000000111011	Hexadecimal: 9103B
Original: 801371	Binary: 11000011101001011011	Hexadecimal: C3A5B
Original: 3796878	Binary: 1110011110111110001110	Hexadecimal: 39EF8E
Original: 7489201	Binary: 11100100100011010110001	Hexadecimal: 7246B1
Original: 9740020	Binary: 100101001001111011110100	Hexadecimal: 949EF4
Original: 9128737	Binary: 100010110100101100100001	Hexadecimal: 8B4B21
Original: 5473463	Binary: 10100111000010010110111	Hexadecimal: 5384B7
Original: 8701957	Binary: 100001001100100000000101	Hexadecimal: 84C805
Original: 8238050	Binary: 11111011011001111100010	Hexadecimal: 7DB3E2
Original: 8679038	Binary: 100001000110111001111110	Hexadecimal: 846E7E
Original: 385912	Binary: 1011110001101111000	Hexadecimal: 5E378
Original: 5867340	Binary: 10110011000011101001100	Hexadecimal: 59874C
Original: 4894542	Binary: 10010101010111101001110	Hexadecimal: 4AAF4E
Original: 8999451	Binary: 100010010101001000011011	Hexadecimal: 89521B
Original: 4392535	Binary: 10000110000011001010111	Hexadecimal: 430657
Original: 2078131	Binary: 111111011010110110011	Hexadecimal: 1FB5B3
Original: 3070124	Binary: 1011101101100010101100	Hexadecimal: 2ED8AC
Original: 7451998	Binary: 11100011011010101011110	Hexadecimal: 71B55E
Original: 5635510	Binary: 10101011111110110110110	Hexadecimal: 55FDB6
Original: 1233932	Binary: 100101101010000001100	Hexadecimal: 12D40C
Original: 6089867	Binary: 10111001110110010001011	Hexadecimal: 5CEC8B
Original: 1792316	Binary: 110110101100100111100	Hexadecimal: 1B593C
Original: 6298637	Binary: 11000000001110000001101	Hexadecimal: 601C0D
Original: 2408038	Binary: 1001001011111001100110	Hexadecimal: 24BE66
Original: 8510100	Binary: 100000011101101010010100	Hexadecimal: 81DA94
Original: 991581	Binary: 11110010000101011101	Hexadecimal: F215D
Original: 6455739	Binary: 11000101000000110111011	Hexadecimal: 6281BB
Original: 7829175	Binary: 11101110111011010110111	Hexadecimal: 7776B7
Original: 6328931	Binary: 11000001001001001100011	Hexadecimal: 609263
Original: 9982305	Binary: 100110000101000101100001	Hexadecimal: 985161
Original: 2292022	Binary: 1000101111100100110110	Hexadecimal: 22F936
Original: 1070496	Binary: 100000101010110100000	Hexadecimal: 1055A0
Original: 8518360	Binary: 100000011111101011011000	Hexadecimal: 81FAD8
Original: 6378470	Binary: 11000010101001111100110	Hexadecimal: 6153E6
Original: 7756258	Binary: 11101100101100111100010	Hexadecimal: 7659E2
Original: 7111767	Binary: 11011001000010001010111	Hexadecimal: 6C8457
Original: 2685897	Binary: 1010001111101111001001	Hexadecimal: 28FBC9
Original: 617946	Binary: 10010110110111011010	Hexadecimal: 96DDA
Original: 246280	Binary: 111100001000001000	Hexadecimal: 3C208
Original: 6075442	Binary: 10111001011010000110010	Hexadecimal: 5CB432
Original: 991323	Binary: 11110010000001011011	Hexadecimal: F205B
Original: 6754202	Binary: 11001110000111110011010	Hexadecimal: 670F9A
Original: 3103178	Binary: 1011110101100111001010	Hexadecimal: 2F59CA
Original: 3228842	Binary: 1100010100010010101010	Hexadecimal: 3144AA
Original: 6786623	Binary: 11001111000111000111111	Hexadecimal: 678E3F
Original: 5329085	Binary: 10100010101000010111101	Hexadecimal: 5150BD
Original: 2334647	Binary: 1000111001111110110111	Hexadecimal: 239FB7
Original: 7253396	Binary: 11011101010110110010100	Hexadecimal: 6EAD94
Original: 6516953	Binary: 11000110111000011011001	Hexadecimal: 6370D9
Original: 5972725	Binary: 10110110010001011110101	Hexadecimal: 5B22F5
Original: 5828037	Binary: 10110001110110111000101	Hexadecimal: 58EDC5
Original: 6642265	Binary: 11001010101101001011001	Hexadecimal: 655A59
Original: 2559699	Binary: 1001110000111011010011	Hexadecimal: 270ED3
Original: 6597631	Binary: 11001001010101111111111	Hexadecimal: 64ABFF
Original: 5826202	Binary: 10110001110011010011010	Hexadecimal: 58E69A
Original: 4642335	Binary: 10001101101011000011111	Hexadecimal: 46D61F
Original: 1862900	Binary: 111000110110011110100	Hexadecimal: 1C6CF4
Original: 6039635	Binary: 10111000010100001010011	Hexadecimal: 5C2853
Original: 3358744	Binary: 1100110100000000011000	Hexadecimal: 334018
Original: 4965249	Binary: 10010111100001110000001	Hexadecimal: 4BC381
Original: 6621475	Binary: 11001010000100100100011	Hexadecimal: 650923
Original: 3336153	Binary: 1100101110011111011001	Hexadecimal: 32E7D9
Original: 1044743	Binary: 11111111000100000111	Hexadecimal: FF107
Original: 6201477	Binary: 10111101010000010000101	Hexadecimal: 5EA085
Original: 6297100	Binary: 11000000001011000001100	Hexadecimal: 60160C
Original: 885678	Binary: 11011000001110101110	Hexadecimal: D83AE
Original: 8546891	Binary: 100000100110101001001011	Hexadecimal: 826A4B
Original: 6683923	Binary: 11001011111110100010011	Hexadecimal: 65FD13
Original: 7064472	Binary: 11010111100101110011000	Hexadecimal: 6BCB98
Original: 3430021	Binary: 1101000101011010000101	Hexadecimal: 345685
Original: 9764122	Binary: 100101001111110100011010	Hexadecimal: 94FD1A
Original: 9958605	Binary: 100101111111010011001101	Hexadecimal: 97F4CD
Original: 1006022	Binary: 11110101100111000110	Hexadecimal: F59C6
Original: 5276496	Binary: 10100001000001101010000	Hexadecimal: 508350
Original: 8876232	Binary: 100001110111000011001000	Hexadecimal: 8770C8
Original: 3364648	Binary: 1100110101011100101000	Hexadecimal: 335728
Original: 3539979	Binary: 1101100000010000001011	Hexadecimal: 36040B
Original: 3003857	Binary: 1011011101010111010001	Hexadecimal: 2DD5D1
Original: 4481634	Binary: 10001000110001001100010	Hexadecimal: 446262
Original: 9035781	Binary: 100010011110000000000101	Hexadecimal: 89E005
Original: 3767021	Binary: 1110010111101011101101	Hexadecimal: 397AED
Original: 4993901	Binary: 10011000011001101101101	Hexadecimal: 4C336D
Original: 8698377	Binary: 100001001011101000001001	Hexadecimal: 84BA09
Original: 4626501	Binary: 10001101001100001000101	Hexadecimal: 469845
Original: 1755352	Binary: 110101100100011011000	Hexadecimal: 1AC8D8
Original: 2755340	Binary: 1010100000101100001100	Hexadecimal: 2A0B0C
Original: 5150616	Binary: 10011101001011110011000	Hexadecimal: 4E9798
Original: 9345169	Binary: 100011101001100010010001	Hexadecimal: 8E9891
Original: 848948	Binary: 11001111010000110100	Hexadecimal: CF434
Original: 2708748	Binary: 1010010101010100001100	Hexadecimal: 29550C
Original: 8372451	Binary: 11111111100000011100011	Hexadecimal: 7FC0E3
Original: 3523015	Binary: 1101011100000111000111	Hexadecimal: 35C1C7
Original: 2624283	Binary: 1010000000101100011011	Hexadecimal: 280B1B
Original: 8795348	Binary: 100001100011010011010100	Hexadecimal: 8634D4
Original: 2318100	Binary: 1000110101111100010100	Hexadecimal: 235F14
Original: 4750861	Binary: 10010000111111000001101	Hexadecimal: 487E0D
Original: 3770597	Binary: 1110011000100011100101	Hexadecimal: 3988E5
Original: 1053352	Binary: 100000001001010101000	Hexadecimal: 1012A8
Original: 833307	Binary: 11001011011100011011	Hexadecimal: CB71B
Original: 4632526	Binary: 10001101010111111001110	Hexadecimal: 46AFCE
Original: 2212917	Binary: 1000011100010000110101	Hexadecimal: 21C435
Original: 5053189	Binary: 10011010001101100000101	Hexadecimal: 4D1B05
Original: 412218	Binary: 1100100101000111010	Hexadecimal: 64A3A
Original: 4901564	Binary: 10010101100101010111100	Hexadecimal: 4ACABC
Original: 5094606	Binary: 10011011011110011001110	Hexadecimal: 4DBCCE
Original: 8070285	Binary: 11110110010010010001101	Hexadecimal: 7B248D
Original: 6847905	Binary: 11010000111110110100001	Hexadecimal: 687DA1
Original: 4311824	Binary: 10000011100101100010000	Hexadecimal: 41CB10
Original: 3009421	Binary: 1011011110101110001101	Hexadecimal: 2DEB8D
Original: 1629105	Binary: 110001101101110110001	Hexadecimal: 18DBB1
Original: 8431899	Binary: 100000001010100100011011	Hexadecimal: 80A91B
Original: 7582456	Binary: 11100111011001011111000	Hexadecimal: 73B2F8
Original: 7332147	Binary: 11011111110000100110011	Hexadecimal: 6FE133
Original: 314183	Binary: 1001100101101000111	Hexadecimal: 4CB47
Original: 7632568	Binary: 11101000111011010111000	Hexadecimal: 7476B8
Original: 8161327	Binary: 11111001000100000101111	Hexadecimal: 7C882F
Original: 6961087	Binary: 11010100011011110111111	Hexadecimal: 6A37BF
Original: 6898282	Binary: 11010010100001001101010	Hexadecimal: 69426A
Original: 9749303	Binary: 100101001100001100110111	Hexadecimal: 94C337
Original: 4427419	Binary: 10000111000111010011011	Hexadecimal: 438E9B
Original: 4368829	Binary: 10000101010100110111101	Hexadecimal: 42A9BD
Original: 6439318	Binary: 11000100100000110010110	Hexadecimal: 624196
Original: 6473603	Binary: 11000101100011110000011	Hexadecimal: 62C783
Original: 6446249	Binary: 11000100101110010101001	Hexadecimal: 625CA9
Original: 9818836	Binary: 100101011101001011010100	Hexadecimal: 95D2D4
Original: 9438069	Binary: 100100000000001101110101	Hexadecimal: 900375
Original: 2809499	Binary: 1010101101111010011011	Hexadecimal: 2ADE9B
Original: 3460304	Binary: 1101001100110011010000	Hexadecimal: 34CCD0
Original: 8430904	Binary: 100000001010010100111000	Hexadecimal: 80A538
Original: 9774785	Binary: 100101010010011011000001	Hexadecimal: 9526C1
Original: 9560603	Binary: 100100011110001000011011	Hexadecimal: 91E21B
Original: 3440732	Binary: 1101001000000001011100	Hexadecimal: 34805C
Original: 7053263	Binary: 11010111001111111001111	Hexadecimal: 6B9FCF
Original: 287398	Binary: 1000110001010100110	Hexadecimal: 462A6
Original: 4043644	Binary: 1111011011001101111100	Hexadecimal: 3DB37C
Original: 2943820	Binary: 1011001110101101001100	Hexadecimal: 2CEB4C
Original: 9030962	Binary: 100010011100110100110010	Hexadecimal: 89CD32
Original: 7537540	Binary: 11100110000001110000100	Hexadecimal: 730384
Original: 7203657	Binary: 11011011110101101001001	Hexadecimal: 6DEB49
Original: 5639400	Binary: 10101100000110011101000	Hexadecimal: 560CE8
Original: 9448142	Binary: 100100000010101011001110	Hexadecimal: 902ACE
Original: 9954392	Binary: 100101111110010001011000	Hexadecimal: 97E458
Original: 2856859	Binary: 1010111001011110011011	Hexadecimal: 2B979B
Original: 1332118	Binary: 101000101001110010110	Hexadecimal: 145396
Original: 6984725	Binary: 11010101001010000010101	Hexadecimal: 6A9415
Original: 1925762	Binary: 111010110001010000010	Hexadecimal: 1D6282
Original: 2138171	Binary: 1000001010000000111011	Hexadecimal: 20A03B
Original: 347447	Binary: 1010100110100110111	Hexadecimal: 54D37
Original: 8839390	Binary: 100001101110000011011110	Hexadecimal: 86E0DE
Original: 3951652	Binary: 1111000100110000100100	Hexadecimal: 3C4C24
Original: 3755102	Binary: 1110010100110001011110	Hexadecimal: 394C5E
Original: 6867687	Binary: 11010001100101011100111	Hexadecimal: 68CAE7
Original: 4383175	Binary: 10000101110000111000111	Hexadecimal: 42E1C7
Original: 7125508	Binary: 11011001011101000000100	Hexadecimal: 6CBA04
Original: 7799732	Binary: 11101110000001110110100	Hexadecimal: 7703B4
Original: 8784156	Binary: 100001100000100100011100	Hexadecimal: 86091C
Original: 1372809	Binary: 101001111001010001001	Hexadecimal: 14F289
Original: 1327984	Binary: 101000100001101110000	Hexadecimal: 144370
Original: 9205087	Binary: 100011000111010101011111	Hexadecimal: 8C755F
Original: 6524241	Binary: 11000111000110101010001	Hexadecimal: 638D51
Original: 9316072	Binary: 100011100010011011101000	Hexadecimal: 8E26E8
Original: 127744	Binary: 11111001100000000	Hexadecimal: 1F300
Original: 8388820	Binary: 100000000000000011010100	Hexadecimal: 8000D4
Original: 6883557	Binary: 11010010000100011100101	Hexadecimal: 6908E5
Original: 2291239	Binary: 1000101111011000100111	Hexadecimal: 22F627
Original: 3101270	Binary: 1011110101001001010110	Hexadecimal: 2F5256
Original: 1382825	Binary: 101010001100110101001	Hexadecimal: 1519A9
Original: 9873376	Binary: 100101101010011111100000	Hexadecimal: 96A7E0
Original: 6873500	Binary: 11010001110000110011100	Hexadecimal: 68E19C
